날짜,평균,농심_신라면,삼양식품_삼양라면,오뚜기_진라면_순한맛
2019.01,3460 ,3307 ,2759 ,649 
2019.02,3465 ,3349 ,2778 ,653 
2019.03,3463 ,3352 ,2819 ,657 
2019.04,3453 ,3349 ,2812 ,659 
2019.05,3463 ,3321 ,2825 ,657 
2019.06,3465 ,3340 ,2822 ,657 
2019.07,3420 ,3231 ,2803 ,649 
2019.08,3456 ,3292 ,2788 ,654 
2019.09,3467 ,3272 ,2806 ,655 
2019.1,3459 ,3318 ,2810 ,656 
2019.11,3446 ,3305 ,2801 ,655 
2019.12,3458 ,3234 ,2805 ,655 
2020.01,3459 ,3287 ,2707 ,630 
2020.02,3473 ,3312 ,2801 ,639 
2020.03,3503 ,3292 ,2839 ,642 
2020.04,3504 ,3279 ,2823 ,640 
2020.05,3494 ,3230 ,2838 ,637 
2020.06,3486 ,3282 ,2775 ,636 
2020.07,3491 ,3317 ,2811 ,641 
2020.08,3494 ,3331 ,2841 ,644 
2020.09,3485 ,3341 ,2830 ,644 
2020.1,3497 ,3314 ,2810 ,641 
2020.11,3480 ,3317 ,2794 ,639 
2020.12,3490 ,3244 ,2800 ,636 
2021.01,3496 ,3368 ,2833 ,646 
2021.02,3494 ,3282 ,2825 ,640 
2021.03,3489 ,3256 ,2814 ,637 
2021.04,3481 ,3295 ,2775 ,637 
2021.05,3488 ,3284 ,2770 ,636 
2021.06,3469 ,3331 ,2815 ,641 
2021.07,3477 ,3287 ,2797 ,637 
2021.08,3681 ,3198 ,3036 ,661 
2021.09,3753 ,3415 ,3052 ,681 
2021.1,3803 ,3512 ,3119 ,696 
2021.11,3807 ,3402 ,3120 ,689 
2021.12,3809 ,3494 ,3131 ,696 
2022.01,3807 ,3388 ,3120 ,688 
2022.02,3806 ,3584 ,3121 ,701 
2022.03,3800 ,3594 ,3104 ,700 
2022.04,3800 ,3615 ,3118 ,702 
2022.05,3795 ,3612 ,3135 ,703 
2022.06,3814 ,3626 ,3104 ,703 
2022.07,3804 ,3570 ,3085 ,697 
2022.08,3792 ,3449 ,3131 ,691 
2022.09,4102 ,3597 ,3159 ,724 
2022.1,4260 ,3670 ,3442 ,758 
2022.11,4254 ,3881 ,3528 ,778 
2022.12,4282 ,3933 ,3562 ,785 
2023.01,4268 ,4002 ,3570 ,789 
2023.02,4268 ,3974 ,3555 ,786 
2023.03,4267 ,3979 ,3533 ,785 
,,,,
,,,,
